2026-01-01 05:02:57 | CAKEUSDT | ВХОД |  | Score: 89 | Entry: 1.896000 | Exit: 1.922000 | Leverage: 20.0x | PnL: -1.37% ($-27.43) | Reason: TIMEOUT | Duration: 240m
2026-01-01 05:08:33 | AIXBTUSDT | ВХОД | Рост/Кор | Score: 85 | Entry: 0.034260 | Exit: 0.035200 | Leverage: 20.0x | PnL: -2.74% ($-54.87) | Reason: SL_HIT | Duration: 55m
2026-01-01 05:08:57 | WETUSDT | ВХОД |  | Score: 87 | Entry: 0.177860 | Exit: 0.172500 | Leverage: 20.0x | PnL: +3.01% ($+30.14) | Reason: TP2_HIT | Duration: 55m
2026-01-01 05:20:33 | AERGOUSDT | ВХОД | Рост/Кор | Score: 100 | Entry: 0.061920 | Exit: 0.060060 | Leverage: 17.4x | PnL: +3.00% ($+26.11) | Reason: TP2_HIT | Duration: 12m
2026-01-01 05:47:39 | ESUSDT | ВХОД | Памп/Кор | Score: 89 | Entry: 0.106220 | Exit: 0.109170 | Leverage: 20.0x | PnL: -2.78% ($-55.55) | Reason: SL_HIT | Duration: 104m
2026-01-01 06:01:17 | MUSDT | ВХОД | Рост/Кор | Score: 89 | Entry: 1.572600 | Exit: 1.570300 | Leverage: 20.0x | PnL: +0.15% ($+2.93) | Reason: TIMEOUT | Duration: 240m
2026-01-01 06:02:09 | CLOUSDT | ВХОД | Памп/Кор | Score: 89 | Entry: 0.393800 | Exit: 0.419200 | Leverage: 17.7x | PnL: -6.45% ($-114.16) | Reason: SL_HIT | Duration: 116m
2026-01-01 07:06:27 | TRUTHUSDT | ВХОД |  | Score: 87 | Entry: 0.009699 | Exit: 0.009461 | Leverage: 20.0x | PnL: +2.45% ($+24.54) | Reason: TIMEOUT | Duration: 240m
2026-01-01 07:20:39 | AIXBTUSDT | ВХОД | Рост/Кор | Score: 90 | Entry: 0.035320 | Exit: 0.034180 | Leverage: 20.0x | PnL: +3.23% ($+32.28) | Reason: TP2_HIT | Duration: 17m
2026-01-01 07:33:49 | SOMIUSDT | ВХОД |  | Score: 92 | Entry: 0.251700 | Exit: 0.245600 | Leverage: 20.0x | PnL: +2.42% ($+24.24) | Reason: TIMEOUT | Duration: 240m
2026-01-01 08:28:03 | LYNUSDT | ВХОД | Рост/Кор | Score: 95 | Entry: 0.160690 | Exit: 0.155230 | Leverage: 16.5x | PnL: +3.40% ($+28.00) | Reason: TP2_HIT | Duration: 86m
2026-01-01 08:33:29 | RAVEUSDT | ВХОД | Рост/Кор | Score: 100 | Entry: 0.475230 | Exit: 0.454460 | Leverage: 20.0x | PnL: +4.37% ($+43.71) | Reason: TP2_HIT | Duration: 84m
2026-01-01 08:51:09 | STBLUSDT | ВХОД |  | Score: 95 | Entry: 0.056870 | Exit: 0.058610 | Leverage: 20.0x | PnL: -3.06% ($-61.19) | Reason: SL_HIT | Duration: 44m
2026-01-01 08:52:05 | ESUSDT | ВХОД | Памп/Кор | Score: 79 | Entry: 0.108770 | Exit: 0.105500 | Leverage: 16.3x | PnL: +3.01% ($+24.54) | Reason: TP2_HIT | Duration: 73m
2026-01-01 09:00:57 | FOLKSUSDT | ВХОД | Рост/Кор | Score: 95 | Entry: 4.209000 | Exit: 4.153000 | Leverage: 19.2x | PnL: +1.33% ($+12.80) | Reason: TIMEOUT | Duration: 240m
2026-01-01 09:10:47 | ASTERUSDT | ВХОД |  | Score: 93 | Entry: 0.693400 | Exit: 0.695200 | Leverage: 20.0x | PnL: -0.26% ($-5.19) | Reason: TIMEOUT | Duration: 240m
2026-01-01 09:10:47 | PUMPFUNUSDT | ВХОД |  | Score: 87 | Entry: 0.001955 | Exit: 0.001948 | Leverage: 20.0x | PnL: +0.36% ($+3.58) | Reason: TIMEOUT | Duration: 240m
2026-01-01 09:22:51 | BNBUSDT | ВХОД |  | Score: 82 | Entry: 872.000000 | Exit: 863.000000 | Leverage: 20.0x | PnL: +1.03% ($+20.64) | Reason: TIMEOUT | Duration: 240m
2026-01-01 10:02:51 | POWERUSDT | ВХОД | Рост/Кор | Score: 81 | Entry: 0.352480 | Exit: 0.350720 | Leverage: 18.2x | PnL: +0.50% ($+4.55) | Reason: TIMEOUT | Duration: 240m
2026-01-01 10:05:23 | USELESSUSDT | ВХОД |  | Score: 95 | Entry: 0.065590 | Exit: 0.064560 | Leverage: 20.0x | PnL: +1.57% ($+15.70) | Reason: TIMEOUT | Duration: 240m
2026-01-01 10:25:43 | CAKEUSDT | ВХОД |  | Score: 93 | Entry: 1.936000 | Exit: 1.931000 | Leverage: 20.0x | PnL: +0.26% ($+5.17) | Reason: TIMEOUT | Duration: 240m
2026-01-01 10:33:41 | AERGOUSDT | ВХОД | Рост/Кор | Score: 91 | Entry: 0.062430 | Exit: 0.066070 | Leverage: 20.0x | PnL: -5.83% ($-116.61) | Reason: SL_HIT | Duration: 32m
2026-01-01 11:06:07 | NOTUSDT | ВХОД |  | Score: 92 | Entry: 0.000518 | Exit: 0.000524 | Leverage: 20.0x | PnL: -1.22% ($-24.32) | Reason: TIMEOUT | Duration: 240m
2026-01-01 11:33:11 | AIXBTUSDT | ВХОД | Рост/Кор | Score: 89 | Entry: 0.035390 | Exit: 0.036310 | Leverage: 17.4x | PnL: -2.60% ($-45.15) | Reason: SL_HIT | Duration: 29m
2026-01-01 11:45:31 | STBLUSDT | ВХОД | Рост/Кор | Score: 91 | Entry: 0.057930 | Exit: 0.061040 | Leverage: 20.0x | PnL: -5.37% ($-53.69) | Reason: SL_HIT | Duration: 158m
2026-01-01 12:00:41 | ZENUSDT | ВХОД |  | Score: 93 | Entry: 9.175000 | Exit: 9.459000 | Leverage: 20.0x | PnL: -3.10% ($-61.91) | Reason: SL_HIT | Duration: 179m
2026-01-01 12:00:41 | LYNUSDT | ВХОД | Памп/Кор | Score: 92 | Entry: 0.167270 | Exit: 0.173560 | Leverage: 20.0x | PnL: -3.76% ($-37.60) | Reason: SL_HIT | Duration: 115m
2026-01-01 12:01:09 | XAUTUSDT | ВХОД |  | Score: 82 | Entry: 4337.400000 | Exit: 4332.000000 | Leverage: 20.0x | PnL: +0.12% ($+2.49) | Reason: TIMEOUT | Duration: 240m
2026-01-01 12:17:47 | LYNUSDT | ВХОД | Памп/Кор | Score: 94 | Entry: 0.171920 | Exit: 0.166550 | Leverage: 20.0x | PnL: +3.12% ($+31.24) | Reason: TP2_HIT | Duration: 9m
2026-01-01 12:43:13 | LIGHTUSDT | ВХОД | Памп/Кор | Score: 99 | Entry: 2.426200 | Exit: 2.501300 | Leverage: 16.0x | PnL: -3.10% ($-49.65) | Reason: SL_HIT | Duration: 12m
2026-01-01 12:47:49 | CCUSDT | ВХОД | Рост/Кор | Score: 87 | Entry: 0.162430 | Exit: 0.166820 | Leverage: 20.0x | PnL: -2.70% ($-54.05) | Reason: SL_HIT | Duration: 47m
2026-01-01 12:53:25 | IPUSDT | ВХОД | Рост/Кор | Score: 89 | Entry: 1.720800 | Exit: 1.809700 | Leverage: 20.0x | PnL: -5.17% ($-103.32) | Reason: SL_HIT | Duration: 112m
2026-01-01 13:01:35 | PENDLEUSDT | ВХОД |  | Score: 92 | Entry: 1.920200 | Exit: 1.941200 | Leverage: 20.0x | PnL: -1.09% ($-21.87) | Reason: TIMEOUT | Duration: 240m
2026-01-01 13:07:43 | LIGHTUSDT | ВХОД | Памп/Кор | Score: 95 | Entry: 2.474700 | Exit: 2.389400 | Leverage: 20.0x | PnL: +3.45% ($+34.47) | Reason: TP2_HIT | Duration: 7m
2026-01-01 13:11:23 | PUMPFUNUSDT | ВХОД |  | Score: 95 | Entry: 0.001948 | Exit: 0.001947 | Leverage: 20.0x | PnL: +0.05% ($+1.03) | Reason: TIMEOUT | Duration: 240m
2026-01-01 13:29:07 | CAKEUSDT | ВХОД |  | Score: 94 | Entry: 1.931000 | Exit: 1.985000 | Leverage: 20.0x | PnL: -2.80% ($-55.93) | Reason: SL_HIT | Duration: 183m
2026-01-01 13:29:39 | HOMEUSDT | ВХОД | Памп/Кор | Score: 80 | Entry: 0.021020 | Exit: 0.021680 | Leverage: 20.0x | PnL: -3.14% ($-62.80) | Reason: SL_HIT | Duration: 203m
2026-01-01 13:30:37 | LYNUSDT | ВХОД | Памп/Кор | Score: 100 | Entry: 0.166910 | Exit: 0.161710 | Leverage: 18.6x | PnL: +3.12% ($+28.97) | Reason: TP2_HIT | Duration: 72m
2026-01-01 13:46:19 | LIGHTUSDT | ВХОД | Памп/Кор | Score: 79 | Entry: 2.487700 | Exit: 2.637100 | Leverage: 20.0x | PnL: -6.01% ($-60.06) | Reason: SL_HIT | Duration: 27m
2026-01-01 13:59:05 | ZKUSDT | ВХОД |  | Score: 90 | Entry: 0.029430 | Exit: 0.030180 | Leverage: 20.0x | PnL: -2.55% ($-50.97) | Reason: SL_HIT | Duration: 150m
2026-01-01 16:43:56 | TONUSDT | ВХОД |  | Score: 93 | Entry: 1.676700 | Exit: 1.682500 | Leverage: 20.0x | PnL: -0.35% ($-6.92) | Reason: TIMEOUT | Duration: 385m
2026-01-01 16:43:56 | 4USDT | ВХОД | Рост/Кор | Score: 80 | Entry: 0.020620 | Exit: 0.020560 | Leverage: 19.2x | PnL: +0.29% ($+2.79) | Reason: TIMEOUT | Duration: 380m
